PK,SK,kanji_char,component_char,,,
KANJI#1,COMPONENT#127,高,亠,,,
KANJI#1,COMPONENT#285,高,口,,,
KANJI#1,COMPONENT#188,高,冂,,,
KANJI#2,COMPONENT#909,食,𠆢,,,
KANJI#2,COMPONENT#776,食,良,,,
KANJI#2,COMPONENT#775,食,艮,,,
KANJI#3,COMPONENT#865,電,雨,,,
KANJI#3,COMPONENT#538,電,日,,,
KANJI#3,COMPONENT#108,電,乚,,,
KANJI#3,COMPONENT#188,電,冂,,,
KANJI#4,COMPONENT#92,雨,丶,,,
KANJI#4,COMPONENT#188,雨,冂,,,
KANJI#4,COMPONENT#3,雨,┬,,,
KANJI#5,COMPONENT#853,間,門,,,
KANJI#5,COMPONENT#538,間,日,,,
KANJI#7,COMPONENT#909,金,𠆢,,,
KANJI#7,COMPONENT#327,金,土,,,
KANJI#7,COMPONENT#93,金,丷,,,
KANJI#8,COMPONENT#663,車,申,,,
KANJI#8,COMPONENT#538,車,日,,,
KANJI#8,COMPONENT#117,車,二,,,
KANJI#8,COMPONENT#86,車,丨,,,
KANJI#9,COMPONENT#810,読,言,,,
KANJI#9,COMPONENT#341,読,売,,,
KANJI#9,COMPONENT#337,読,士,,,
KANJI#9,COMPONENT#164,読,儿,,,
KANJI#10,COMPONENT#810,語,言,,,
KANJI#10,COMPONENT#305,語,吾,,,
KANJI#10,COMPONENT#121,語,五,,,
KANJI#10,COMPONENT#285,語,口,,,
KANJI#11,COMPONENT#810,話,言,,,
KANJI#11,COMPONENT#769,話,舌,,,
KANJI#11,COMPONENT#245,話,千,,,
KANJI#11,COMPONENT#285,話,口,,,
KANJI#12,COMPONENT#686,見,目,,,
KANJI#12,COMPONENT#164,見,儿,,,
KANJI#13,COMPONENT#285,西,口,,,
KANJI#13,COMPONENT#164,西,儿,,,
KANJI#13,COMPONENT#65,西,一,,,
KANJI#14,COMPONENT#487,行,彳,,,
KANJI#14,COMPONENT#118,行,亍,,,
KANJI#14,COMPONENT#67,行,丁,,,
KANJI#15,COMPONENT#853,聞,門,,,
KANJI#15,COMPONENT#750,聞,耳,,,
KANJI#16,COMPONENT#681,百,白,,,
KANJI#16,COMPONENT#65,百,一,,,
KANJI#17,COMPONENT#538,白,日,,,
KANJI#18,COMPONENT#660,男,田,,,
KANJI#18,COMPONENT#221,男,力,,,
KANJI#19,COMPONENT#907,生,𠂉,,,
KANJI#19,COMPONENT#327,生,土,,,
KANJI#19,COMPONENT#643,生,牛,,,
KANJI#20,COMPONENT#177,父,八,,,
KANJI#20,COMPONENT#98,父,乂,,,
KANJI#21,COMPONENT#143,火,人,,,
KANJI#22,COMPONENT#32,水,フ,,,
KANJI#22,COMPONENT#113,水,亅,,,
KANJI#23,COMPONENT#614,気,气,,,
KANJI#23,COMPONENT#43,気,㐅,,,
KANJI#24,COMPONENT#606,毎,毋,,,
KANJI#24,COMPONENT#907,毎,𠂉,,,
KANJI#25,COMPONENT#92,母,丶,,,
KANJI#25,COMPONENT#908,母,𠃌,,,
KANJI#26,COMPONENT#572,校,木,,,
KANJI#26,COMPONENT#132,校,交,,,
KANJI#26,COMPONENT#127,校,亠,,,
KANJI#26,COMPONENT#640,校,父,,,
KANJI#27,COMPONENT#538,東,日,,,
KANJI#27,COMPONENT#572,東,木,,,
KANJI#27,COMPONENT#663,東,申,,,
KANJI#28,COMPONENT#573,来,未,,,
KANJI#28,COMPONENT#572,来,木,,,
KANJI#28,COMPONENT#93,来,丷,,,
KANJI#29,COMPONENT#572,本,木,,,
KANJI#29,COMPONENT#242,本,十,,,
KANJI#30,COMPONENT#242,木,十,,,
KANJI#31,COMPONENT#117,月,二,,,
