PK,SK,name,hiragana,level,english,vietnamese,lexical_category,accent_up,accent_down
WORD,1,猫,ねこ,2,cat,mèo,noun,,1
WORD,2,犬,いぬ,1,dog,chó,noun,1,
WORD,3,鳥,とり,2,bird,chim,noun,,0
WORD,4,魚,さかな,1,fish,cá,noun,,0
WORD,5,馬,うま,4,horse,ngựa,noun,,1
WORD,6,書きます,かきます,1,to write,viét,verb5,1,3
WORD,7,見ます,みます,1,to look,xem,verb1up,1,2
WORD,8,捨てます,すてます,4,to throw away,bỏ,verb1down,1,3
WORD,9,一,いち,1,one,một,noun,1,
WORD,10,二,に,1,two,hai,noun,,
WORD,11,三,さん,1,three,ba,noun,1,
WORD,12,四,よん ,2,four,bốn,noun,,1
WORD,13,五,ご,2,five,năm,noun,,
WORD,14,六,ろく,2,six,sáu,noun,1,
WORD,15,七,なな,2,seven,bảy,noun,,1
WORD,16,八,はち,2,eight,tám,noun,1,
WORD,17,九,きゅう,2,nine,chín,noun,,1
WORD,18,十,じゅう,1,ten,mười,noun,,1
WORD,19,十一,じゅういち,2,eleven,mười một,noun,1,
WORD,20,十二,じゅうに,2,twelve,mười hai,noun,1,
WORD,21,十四,じゅうよん,2,fourteen,mười bốn,noun,1,3
WORD,22,二十,にじゅう,2,twenty,hai mươi,noun,,1
WORD,23,三十,さんじゅう,2,thirty,ba mươi,noun,,1
WORD,24,三十一,さんじゅういち,3,thirty-one,ba mươi mốt,noun,,1
WORD,25,百,ひゃく,1,hundred,trăm,noun,1,
WORD,26,銀行員,ぎんこういん,3,banker,chủ ngân hàng,noun,1,3
WORD,27,会社員,かいしゃいん,3,company employee,nhân viên công ty,noun,1,3
WORD,28,医者,いしゃ,3,doctor,bác sĩ,noun,1,
WORD,29,先生,せんせい,1,teacher,giáo viên,noun,1,3
WORD,30,エンジニア,エンジニア,4,engineer,kỹ sư,noun,1,3
WORD,31,店員,てんいん,3,clerk,nhân viên văn phòng,noun,1,
WORD,32,歌手,かしゅ,3,singer,ca sĩ,noun,,1
WORD,33,警察官,けいさつかん,3,police officer,cảnh sát,noun,1,3
WORD,34,学生,がくせい,1,student,học sinh,noun,1,
WORD,35,主婦,しゅふ,3,housewife,bà nội trợ,noun,,1
WORD,36,国,くに,3,country,quốc gia,noun,1,
WORD,37,日本,にほん,1,japan,nhật bản,noun,1,2
WORD,38,韓国,かんこく,3,south korea,hàn quốc,noun,,1
WORD,39,中国,ちゅうごく,2,china,trung quốc,noun,,1
WORD,40,フィリピン,フィリピン,3,philippines,philippin,noun,,1
WORD,41,アメリカ,アメリカ,2,america,nước mỹ,noun,1,
WORD,42,ドイツ,ドイツ,3,germany,đức,noun,,1
WORD,43,イギリス,イギリス,2,england,anh quốc,noun,1,
WORD,44,日本語,にほんご,1,japanese,nhật bản,noun,1,
WORD,45,韓国語,かんこくご,3,korean,hàn quốc,noun,1,
WORD,46,中国語,ちゅうごくご,3,chinese,tiếng trung quốc,noun,1,
WORD,47,英語,えいご,1,english,tiếng anh,noun,1,
WORD,48,銀行,ぎんこう,2,bank,ngân hàng,noun,1,
WORD,49,郵便局,ゆうびんきょく,2,post office,bưu điện,noun,1,3
WORD,50,薬屋,くすりや,3,pharmacy,hiệu thuốc,noun,1,
WORD,51,病院,びょういん,1,hospital,bệnh viện,noun,1,
WORD,52,会社,かいしゃ,1,company,công ty,noun,1,
WORD,53,スーパー,スーパー,2,supermarket,siêu thị,noun,,1
WORD,54,カフェ,カフェ,3,cafe,quán cà phê,noun,,1
WORD,55,レストラン,レストラン,2,restaurant,nhà hàng,noun,,1
WORD,56,デパート,デパート,3,department stores,cửa hàng bách hóa,noun,1,2
WORD,57,映画館,えいがかん,3,movie theatre,rạp chiếu phim,noun,1,3
WORD,58,本屋,ほんや,2,book store,cửa hàng sách,noun,,1
WORD,59,花屋,はなや,2,florist,người bán hoa,noun,1,2
WORD,60,ケーキ屋,ケーキや,3,cake shop,tiệm bánh,noun,1,
WORD,61,ラーメン屋,ラーメンや,3,ramen shop,cửa hàng mì ramen,noun,1,
WORD,62,カレー屋,カレーや,3,curry restaurant,nhà hàng cà ri,noun,1,
WORD,63,コンビニ,コンビニ,2,convenience store,cửa hàng tiện lợi,noun,1,
WORD,64,家,うち,3,house,căn nhà,noun,1,
WORD,65,学校,がっこう,1,school,trường học,noun,1,
WORD,66,大学,だいがく,2,university,trường đại học,noun,1,
WORD,67,アパート,アパート,2,apartment,căn hộ,noun,1,2
WORD,68,トイレ,トイレ,1,toilet,nhà vệ sinh,noun,,1
WORD,69,博物館,はくぶつかん,3,museum,bảo tàng,noun,1,4
WORD,70,公園,こうえん,1,park,công viên,noun,1,
WORD,71,大使館,たいしかん,3,embassy,đại sứ quán,noun,1,3
WORD,72,町,まち,2,town,thị trấn,noun,1,
WORD,73,北口,きたぐち,3,north exit,lối ra phía bắc,noun,1,
WORD,74,南口,みなみぐち,3,south exit,lối ra phía nam,noun,1,
WORD,75,東口,ひがしぐち,3,east exit,lối ra phía đông,noun,1,
WORD,76,西口,にしぐち,3,west exit,lối ra phía tây,noun,1,
WORD,77,季節,きせつ,2,season,mùa,noun,,1
WORD,78,春,はる,2,spring,mùa xuân,noun,,1
WORD,79,夏,なつ,2,summer,mùa hè,noun,1,
WORD,80,秋,あき,2,autumn,mùa thu,noun,,1
WORD,81,冬,ふゆ,2,winter,mùa đông,noun,1,
WORD,82,家族,かぞく,2,family,gia đình,noun,,1
WORD,83,友達,ともだち,2,friend,bạn bè,noun,1,
WORD,84,父,ちち,3,father,bố,noun,,1
WORD,85,お父さん,おとうさん,1,father,bố,noun,1,2
WORD,86,母,はは,3,mother,mẹ,noun,,1
WORD,87,お母さん,おかあさん,1,mother,mẹ,noun,1,2
WORD,88,兄,あに,3,older brother,anh trai,noun,,1
WORD,89,お兄さん,おにいさん,2,older brother,anh trai,noun,1,2
WORD,90,姉,あね,3,sister,em gái,noun,1,
WORD,91,お姉さん,おねえさん,2,older sister,chị gái,noun,1,2
WORD,92,弟,おとうと,2,younger brother,em trai,noun,1,
WORD,93,妹,いもうと,2,younger sister,em gái,noun,1,
WORD,94,兄弟,きょうだい,3,brothers,anh em,noun,,1
WORD,95,息子,むすこ,3,son,con trai,noun,1,
WORD,96,娘,むすめ,3,daughter,con gái,noun,1,
WORD,97,男,おとこ,2,man,người đàn ông,noun,1,
WORD,98,女,おんな,2,woman,đàn bà,noun,1,
WORD,99,夫,おっと,2,husband,chồng,noun,1,
WORD,100,ご主人,ごしゅじん,3,husband,chồng,noun,1,2
WORD,101,妻,つま,2,wife,vợ,noun,,1
WORD,102,奥さん,おくさん,3,wife,vợ,noun,,1
WORD,103,両親,りょうしん,3,parents,cha mẹ,noun,,1
WORD,104,子供,こども,1,child,đứa trẻ,noun,1,
WORD,105,祖父,そふ,3,grandfather,ông nội,noun,,1
WORD,106,おじいさん,おじいさん,2,grandfather,ông nội,noun,1,2
WORD,107,祖母,そぼ,3,grandmother,bà ngoại,noun,,1
WORD,108,おばあさん,おばあさん,2,granny,bà già,noun,1,2
WORD,109,叔父,おじ,3,uncle,chú ,noun,1,
WORD,110,叔母,おば,3,aunt,dì,noun,1,
WORD,111,孫,まご,3,grandchild,cháu nội,noun,1,
WORD,112,動物,どうぶつ,1,animal,động vật,noun,1,
WORD,113,豚,ぶた,2,pig,con lợn,noun,1,
WORD,114,牛,うし,2,cattle,gia súc,noun,1,
WORD,115,鶏,にわとり,2,chicken,thịt gà,noun,1,
WORD,116,服,ふく,1,clothes,quần áo,noun,,1
WORD,117,着物,きもの,3,kimono,kimono,noun,1,
